,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
0,1/7/2022,2022-A62 ,G96,0.3,0.2,0.36055512754639896
1,1/7/2022,2022-A62 ,I52,0.1,0.0,0.1
2,1/7/2022,2022-A62 ,L06,0.7,0.1,0.7071067811865475
3,1/7/2022,2022-A62 ,G96,0.2,0.4,0.447213595499958
4,1/7/2022,2022-A62 ,I52,0.1,0.0,0.1
5,1/7/2022,2022-A62 ,L06,0.4,0.4,0.5656854249492381
6,1/7/2022,2022-A62 ,G96,0.4,0.1,0.4123105625617661
7,1/7/2022,2022-A62 ,I52,0.0,0.1,0.1
8,1/7/2022,2022-A62 ,654,0.4,0.1,0.4123105625617661
9,1/7/2022,2022-A62 ,G96,0.1,0.6,0.6082762530298219
10,1/7/2022,2022-A62 ,033,0.5,0.2,0.5385164807134505
11,1/7/2022,2022-A62 ,I52,0.3,0.8,0.8544003745317532
12,1/7/2022,2022-A62 ,I52,0.1,0.2,0.223606797749979
13,1/7/2022,2022-A62 ,033,0.4,0.1,0.4123105625617661
14,1/7/2022,2022-A62 ,I52,0.3,0.1,0.31622776601683794
15,1/7/2022,2022-A62 ,I52,0.2,0.0,0.2
16,1/7/2022,2022-A62 ,033,0.0,0.0,0.0
17,1/7/2022,2022-A62 ,I52,0.3,0.3,0.4242640687119285
18,1/7/2022,2022-A62 ,I52,0.0,0.1,0.1
19,1/7/2022,2022-A62 ,033,0.1,0.0,0.1
20,1/7/2022,2022-A62 ,I52,0.6,0.1,0.6082762530298219
21,1/7/2022,2022-A62 ,I52,0.3,0.1,0.31622776601683794
22,1/7/2022,2022-A62 ,033,0.3,0.2,0.36055512754639896
23,1/7/2022,2022-A62 ,654,0.3,0.2,0.36055512754639896
24,1/7/2022,2022-A62 ,I52,0.3,0.4,0.5
25,1/7/2022,2022-A62 ,033,0.0,0.4,0.4
26,1/7/2022,2022-A62 ,654,0.1,0.1,0.14142135623730953
27,1/13/2022,2022-A171,F52,0.1,0.0,0.1
28,1/13/2022,2022-A171,H21,0.3,0.0,0.3
29,1/13/2022,2022-A171,568,0.0,0.0,0.0
30,1/13/2022,2022-A171,F52,0.1,0.0,0.1
31,1/13/2022,2022-A171,H21,0.0,0.4,0.4
32,1/13/2022,2022-A171,I93,0.1,0.2,0.223606797749979
33,1/13/2022,2022-A171,F52,0.1,0.1,0.14142135623730953
34,1/13/2022,2022-A171,H21,0.1,0.3,0.31622776601683794
35,1/13/2022,2022-A171,I93,0.7,1.0,1.2206555615733703
36,1/13/2022,2022-A171,F52,0.1,0.2,0.223606797749979
37,1/13/2022,2022-A171,654,0.2,0.1,0.223606797749979
38,1/13/2022,2022-A171,L01,0.3,0.0,0.3
39,1/13/2022,2022-A171,F52,0.1,0.0,0.1
40,1/13/2022,2022-A171,654,0.1,0.2,0.223606797749979
41,1/13/2022,2022-A171,L01,0.5,0.1,0.5099019513592785
42,1/13/2022,2022-A171,807,0.1,0.0,0.1
43,1/13/2022,2022-A171,654,0.3,0.3,0.4242640687119285
44,1/13/2022,2022-A171,858,0.2,0.5,0.5385164807134505
45,1/13/2022,2022-A171,807,0.1,0.1,0.14142135623730953
46,1/13/2022,2022-A171,654,1.8,1.0,2.0591260281974
47,1/13/2022,2022-A171,858,0.3,0.6,0.6708203932499369
48,1/13/2022,2022-A171,807,0.0,0.0,0.0
49,1/13/2022,2022-A171,568,0.0,0.0,0.0
50,1/13/2022,2022-A171,858,0.1,0.3,0.31622776601683794
51,1/13/2022,2022-A173,G96,0.2,0.0,0.2
52,1/13/2022,2022-A173,G96,0.3,0.1,0.31622776601683794
53,1/13/2022,2022-A173,654,0.2,0.1,0.223606797749979
54,1/13/2022,2022-A173,G96,0.2,0.2,0.28284271247461906
55,1/13/2022,2022-A173,G96,0.2,0.3,0.36055512754639896
56,1/13/2022,2022-A173,L06,0.7,0.0,0.7
57,1/13/2022,2022-A173,G96,0.3,0.6,0.6708203932499369
58,1/13/2022,2022-A173,G96,0.1,0.2,0.223606797749979
59,1/13/2022,2022-A173,L06,0.7,0.6,0.9219544457292886
60,1/13/2022,2022-A173,G96,0.1,0.1,0.14142135623730953
61,1/13/2022,2022-A173,G96,0.3,0.3,0.4242640687119285
62,1/13/2022,2022-A173,858,0.1,0.3,0.31622776601683794
63,1/13/2022,2022-A173,I52,0.4,0.0,0.4
64,1/13/2022,2022-A173,654,0.0,0.1,0.1
65,1/13/2022,2022-A173,858,0.6,0.7,0.9219544457292886
66,1/13/2022,2022-A173,I52,0.1,0.1,0.14142135623730953
67,1/13/2022,2022-A173,654,0.1,0.1,0.14142135623730953
68,1/13/2022,2022-A173,858,0.9,0.1,0.9055385138137417
69,1/13/2022,2022-A173,I52,0.0,0.2,0.2
70,1/13/2022,2022-A173,654,0.0,0.1,0.1
